index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
5893,barabasi_albert,random,33,32,12,15,15,1.0000,12.0000,1,3.565,1.228
5894,random_tree,random,31,30,4,11,11,1.0000,4.0000,1,3.720,12.042
5895,path,bounded,3,2,2,1,1,1.0000,2.0000,1,0.798,0.855
5896,cycle,bounded,24,24,2,8,8,1.0000,2.0000,1,2.614,10.971
5897,ladder,bounded,12,16,3,4,4,1.0000,3.0000,1,2.083,10.789
5898,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,1.963,11.016
5899,regular,bounded,31,62,4,7,7,1.0000,4.0000,1,4.485,48.709
5900,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.642,1.164
5901,lollipop,bounded,7,12,5,2,2,1.0000,5.0000,1,1.184,1.002
5902,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.457,1.207
5903,star,rigid,4,3,3,1,1,1.0000,1.0000,1,0.663,0.840
5904,complete_bipartite,rigid,11,30,6,5,5,1.0000,1.0000,1,1.570,1.114
5905,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.167,9.327
5906,double_star,rigid,16,15,10,6,6,1.0000,1.0000,1,2.023,1.069
5907,erdos_renyi,random,33,71,9,8,8,1.0000,9.0000,1,5.815,16.446
5908,barabasi_albert,random,19,18,11,6,6,1.0000,11.0000,1,2.250,1.047
5909,random_tree,random,27,26,4,10,10,1.0000,4.0000,1,3.663,11.874
5910,path,bounded,39,38,2,13,13,1.0000,2.0000,1,5.013,10.268
5911,cycle,bounded,5,5,2,2,2,1.0000,2.0000,1,0.952,11.025
5912,ladder,bounded,18,25,3,5,5,1.0000,3.0000,1,2.707,10.341
5913,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,2.134,11.217
5914,regular,bounded,30,75,5,7,6,1.1667,5.0000,1,4.796,11.679
5915,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.947,12.450
5916,lollipop,bounded,12,26,7,3,3,1.0000,7.0000,1,2.098,16.935
5917,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.628,1.286
5918,star,rigid,21,20,20,1,1,1.0000,1.0000,1,1.958,1.232
5919,complete_bipartite,rigid,16,64,8,8,8,1.0000,1.0000,1,2.418,1.450
5920,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.773,0.812
5921,double_star,rigid,20,19,13,7,7,1.0000,1.0000,1,2.021,1.010
5922,erdos_renyi,random,21,26,5,8,8,1.0000,5.0000,1,3.242,9.923
5923,barabasi_albert,random,9,8,5,4,4,1.0000,5.0000,1,1.373,0.943
5924,random_tree,random,17,16,4,7,7,1.0000,4.0000,1,2.148,11.728
5925,path,bounded,40,39,2,14,14,1.0000,2.0000,1,5.115,11.291
5926,cycle,bounded,6,6,2,2,2,1.0000,2.0000,1,0.928,11.748
5927,ladder,bounded,22,31,3,6,6,1.0000,3.0000,1,3.534,11.375
5928,grid,bounded,18,27,4,6,6,1.0000,4.0000,1,2.997,18.234
5929,regular,bounded,6,6,2,2,2,1.0000,2.0000,1,0.862,11.106
5930,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.060,13.040
5931,lollipop,bounded,14,14,3,5,5,1.0000,3.0000,1,2.144,16.167
5932,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.481,0.953
5933,star,rigid,17,16,16,1,1,1.0000,1.0000,1,1.728,1.108
5934,complete_bipartite,rigid,13,22,11,2,2,1.0000,1.0000,1,1.679,1.176
5935,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.747,11.210
5936,double_star,rigid,23,22,12,11,11,1.0000,1.0000,1,2.560,1.123
5937,erdos_renyi,random,21,21,5,7,7,1.0000,5.0000,1,3.005,12.674
5938,barabasi_albert,random,29,54,12,7,7,1.0000,12.0000,1,4.743,10.240
5939,random_tree,random,9,8,3,4,4,1.0000,3.0000,1,1.413,1.044
5940,path,bounded,24,23,2,8,8,1.0000,2.0000,1,3.009,11.570
5941,cycle,bounded,3,3,2,1,1,1.0000,2.0000,1,0.696,0.997
5942,ladder,bounded,22,31,3,6,6,1.0000,3.0000,1,3.311,10.529
5943,grid,bounded,6,7,3,2,2,1.0000,4.0000,1,1.215,10.845
5944,regular,bounded,20,30,3,6,6,1.0000,3.0000,1,2.645,13.779
5945,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.756,1.211
5946,lollipop,bounded,14,16,4,4,4,1.0000,4.0000,1,2.260,12.725
5947,clique,rigid,8,28,7,1,1,1.0000,1.0000,1,1.372,1.237
5948,star,rigid,24,23,23,1,1,1.0000,1.0000,1,2.111,1.171
5949,complete_bipartite,rigid,6,9,3,3,3,1.0000,1.0000,1,1.302,1.134
5950,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.983,8.805
5951,double_star,rigid,17,16,12,5,5,1.0000,1.0000,1,2.259,2.040
